lng	lat	year
147.967	-70.242	1922
147.852	-70.157	1923
147.737	-70.071	1924
147.624	-69.987	1925
147.453	-69.892	1926
147.284	-69.797	1927
147.117	-69.704	1928
146.951	-69.610	1929
146.788	-69.516	1930
146.579	-69.424	1931
146.371	-69.331	1932
146.166	-69.239	1933
145.963	-69.146	1934
145.762	-69.054	1935
145.523	-68.957	1936
145.287	-68.859	1937
145.053	-68.761	1938
144.820	-68.663	1939
144.590	-68.566	1940
144.556	-68.480	1941
144.524	-68.396	1942
144.495	-68.314	1943
144.467	-68.232	1944
144.440	-68.150	1945
144.264	-68.098	1946
144.087	-68.045	1947
143.908	-67.993	1948
143.728	-67.941	1949
143.546	-67.888	1950
143.135	-67.752	1951
142.724	-67.613	1952
142.316	-67.475	1953
141.909	-67.335	1954
141.504	-67.194	1955
141.256	-67.099	1956
141.004	-67.001	1957
140.749	-66.902	1958
140.490	-66.802	1959
140.228	-66.700	1960
140.087	-66.626	1961
139.946	-66.551	1962
139.807	-66.478	1963
139.668	-66.404	1964
139.530	-66.331	1965
139.504	-66.270	1966
139.478	-66.208	1967
139.451	-66.146	1968
139.426	-66.085	1969
139.400	-66.023	1970
139.425	-65.967	1971
139.450	-65.910	1972
139.474	-65.853	1973
139.498	-65.795	1974
139.522	-65.738	1975
139.488	-65.676	1976
139.453	-65.613	1977
139.418	-65.549	1978
139.384	-65.486	1979
139.349	-65.423	1980
139.314	-65.363	1981
139.280	-65.304	1982
139.246	-65.244	1983
139.212	-65.184	1984
139.178	-65.125	1985
139.122	-65.081	1986
139.067	-65.038	1987
139.011	-64.995	1988
138.956	-64.952	1989
138.902	-64.910	1990
138.867	-64.885	1991
138.832	-64.860	1992
138.798	-64.836	1993
138.764	-64.812	1994
138.730	-64.788	1995
138.644	-64.762	1996
138.558	-64.737	1997
138.473	-64.711	1998
138.388	-64.687	1999
138.303	-64.661	2000
138.211	-64.638	2001
138.120	-64.615	2002
138.029	-64.591	2003
137.938	-64.568	2004
137.848	-64.545	2005
137.742	-64.523	2006
137.637	-64.500	2007
137.532	-64.477	2008
137.428	-64.454	2009
137.325	-64.432	2010
137.176	-64.401	2011
137.028	-64.370	2012
136.881	-64.340	2013
136.734	-64.309	2014
136.597	-64.279	2015
136.449	-64.239	2016
136.303	-64.199	2017
136.156	-64.160	2018
136.011	-64.120	2019
135.866	-64.081	2020
135.703	-64.035	2021
135.542	-63.988	2022
135.381	-63.942	2023
135.221	-63.897	2024
135.061	-63.851	2025
