name,yomi,lat,lon,lastchar
中新町,なかしんまち,41.87289,140.135391,新
北新町,きたしんまち,41.87289,140.135391,新
東新町,ひがししんまち,41.87289,140.135391,新
片原町,かたはらまち,41.875664,140.132065,原
五勝手村,ごかつてむら,41.839954,140.151428,手
尾山村,おやまむら,41.88818,140.202271,山
田沢村,たざわむら,41.902592,140.142929,沢
伏木戸村,ふしきどむら,41.911289,140.144073,戸
土場村,どばむら,41.91951,140.14679,場
五厘沢村,ごりんざわむら,41.953308,140.148911,沢
小黒部村,おぐろつぺむら,41.940037,140.208679,部
鰔川村,うぐいかわむら,41.942045,140.17038,川
目名村,めなむら,41.902351,140.193222,名
土橋村,つちはしむら,41.907815,140.220291,橋
赤沼村,あかぬまむら,41.925945,140.225647,沼
館村,たてむら,41.88942,140.339535,館
乙部村,おとべむら,41.981375,140.171666,部
小茂内村,こもないむら,42.00029,140.166725,内
大茂内村,おおもないむら,42.007034,140.120667,内
三ッ谷村,みつやむら,42.043623,140.110405,谷
熊石村,くまいしむら,42.130143,139.977892,石
泊川村,とまりかわむら,42.113428,140.041096,川
相沼内村,あいぬまないむら,42.078646,140.082115,内
赤石村,あかいしむら,42.150356,139.466629,石
太田村,おおたむら,42.280846,139.802475,田
湯尻村,ゆのしりむら,42.235844,139.847244,尻
平田内村,ひらたないむら,42.231039,139.911949,内
良瑠石村,らるいしむら,42.35145,139.807129,石
江泥辺村,えとろへむら,42.673416,140.047676,辺
本目村,ほんめむら,42.73426,140.132034,目
厚瀬村,あつせむら,42.742573,140.115891,瀬
歌島村,うたしまむら,42.762323,140.173355,島
作浜村,さくはまむら,42.78242,140.163066,浜
岩崎村,いわさきむら,42.788095,140.227834,崎
六条村,ろくじようむら,42.78009,140.227844,条
潮路村,うしよろむら,42.798264,140.327271,路
有戸村,あるとむら,42.798264,140.327271,戸
種前村,たねまえむら,42.798264,140.327271,前
美谷村,びやむら,42.798264,140.327271,谷
渡島町,としまちよう,42.788448,140.224274,島
岩崎町,いわさきちよう,42.790932,140.237701,崎
六条町,ろくじようちよう,42.78009,140.227844,条
黒松内村,くろまつないむら,42.639789,140.361221,内
小沢村,こざわむら,42.976961,140.682612,沢
前田村,まえだむら,42.949947,140.573044,田
稲穂崎町,いなほさきまち,42.983736,140.507591,崎
吹上町,ふきあげまち,42.983736,140.507591,上
堀江町,ほりえまち,42.983955,140.506073,江
三島町,みしままち,42.983955,140.506073,島
難波町,なにわまち,42.983677,140.514587,波
御鉾内町,おむないまち,42.983946,140.519363,内
鷹台町,たかだいまち,42.97752,140.508764,台
敷島内村,しきしまないむら,42.940567,140.449158,内
興志内村,おきしないむら,43.12352,140.472824,内
茅沼村,かやぬまむら,43.083607,140.543396,沼
渋井村,しぶいむら,43.046814,140.505295,井
神恵内村,かもえないむら,43.147289,140.430173,内
赤石村,あかいしむら,43.172176,140.40036,石
珊内村,さんないむら,43.229942,140.372314,内
野塚村,のづかむら,43.302402,140.484726,塚
浜中村,はまなかむら,43.175137,140.561127,中
新地町,しんちまち,43.280544,140.636635,地
沢江村,さわえむら,43.169048,140.619736,江
沢町,さわまち,43.191368,140.754883,沢
富沢町,とみさわちよう,43.202644,140.764084,沢
浜中村,はまなかむら,43.193087,140.778942,中
山田村,やまだむら,43.184859,140.778498,田
黒川村,くろかわむら,43.172902,140.803858,川
川村,かわむら,43.178501,140.801673,川
畚部村,ふんこべむら,43.154158,140.843506,部
中町,なかまち,43.199619,140.76088,中
梅川町,うめかわちよう,43.202644,140.764084,川
琴平町,ことひらちよう,43.199619,140.76088,平
山道村,さんどうむら,43.149116,140.728786,道
仁木村,にきむら,43.143414,140.777158,木
大江村,おおえむら,43.06368,140.75965,江
砂崎町,すなさきちよう,43.193958,141.006516,崎
相生町,あいおいちよう,43.192655,141.003469,生
山田町,やまだまち,43.192655,141.003469,田
花園町,はなぞのちよう,43.189809,140.998711,園
住ノ江町,すみのえちよう,43.184845,141.004074,江
永井町,ながいちよう,43.188129,141.00798,井
山ノ上町,やまのうえちよう,43.188219,141.006462,上
川原町,かわらちよう,43.185329,141.012787,原
土場町,どばちよう,43.186729,141.010384,場
新地町,しんちちよう,43.184307,141.01133,地
若松町,わかまつちよう,43.185349,141.00951,松
芝居町,しばいまち,43.183285,141.009872,居
奥沢村,おくさわむら,43.173471,141.001478,沢
新富町,しんとみちよう,43.180889,141.014867,富
潮見台町,しおみだいちよう,43.179031,141.013797,台
若竹町,わかたけちよう,43.179709,141.017038,竹
色内町,いろないちよう,43.20209,140.998459,内
南浜町,みなみはまちよう,43.198504,141.002874,浜
北浜町,きたはまちよう,43.205579,141.001309,浜
手宮町,てみやちよう,43.209857,141.002131,宮
朝里村,あさりむら,43.168145,141.054735,里
色内村,いろないむら,43.200158,140.997055,内
手宮村,てみやむら,43.209359,141.000732,宮
高島村,たかしまむら,43.217052,141.006422,島
祝津村,しゆくつむら,43.226429,141.011581,津
塩谷村,しおやむら,43.217187,140.944641,谷
桃内村,ももないむら,43.204674,140.897141,内
忍路村,おしよろむら,43.207794,140.862534,路
蘭島村,らんしまむら,43.20089,140.85762,島
富岡町,とみおかちよう,43.195894,140.989632,岡
小樽公園,おたるこうえん,43.189945,140.994392,園
最上町,もがみちよう,43.180965,140.975815,上
柳町,やなぎまち,43.179501,140.987915,柳
奥沢町,おくさわちよう,43.17408,140.999902,沢
天神町,てんじんちよう,43.157827,140.9832,神
砂留町,すなどめちよう,43.204189,140.98772,留
長橋町,ながはしちよう,43.207051,140.976379,橋
坂本町,さかもとちよう,43.208048,140.968254,本
松山町,まつやまちよう,43.208048,140.968254,山
石山町,いしやまちよう,43.206797,140.992945,山
豊川町,とよかわちよう,43.208981,140.994461,川
清水町,しみずちよう,43.214199,140.984169,水
手宮公園,てみやこうえん,43.212887,141.001938,園
高島町,たかしまちよう,43.221931,141.002487,島
南高島町,みなみたかしまちよう,43.218259,141.01152,島
北高島町,きたたかしまちよう,43.221347,141.01266,島
南祝津町,みなみしゆくつちよう,43.226429,141.011581,津
北祝津町,きたしゆくつちよう,43.226429,141.011581,津
南赤岩町,みなみあかいわちよう,43.220859,140.99366,岩
船浜町,ふなはまちよう,43.178513,141.042374,浜
朝里町,あさりちよう,43.175684,141.06435,里
円山村,まるやまむら,43.053832,141.340845,山
篠路村,しのろむら,43.143405,141.358297,路
白石町,しろいしちよう,43.059939,141.375502,石
白石村,しろいしむら,43.049618,141.420231,石
上白石村,かみしろいしむら,43.067114,141.398423,石
豊平町,とよひらちよう,43.048613,141.372281,平
豊平村,とよひらむら,43.044078,141.378336,平
山口村,やまぐちむら,43.136663,141.204743,口
蘭越村,らんこしむら,42.817423,141.614897,越
島松村,しままつむら,42.916506,141.574234,松
広島村,ひろしまむら,42.973229,141.530025,島
篠津村,しのつむら,43.160433,141.487125,津
本町,ほんちよう,43.24715,141.354782,本
新町,しんまち,43.248447,141.356277,新
浜町,はままち,43.258518,141.360809,浜
横町,よこまち,43.244614,141.348206,横
船場町,ふなばちよう,43.220131,141.362473,場
若生町,わかおいちよう,43.242825,141.356918,生
八幡町,はちまんちよう,43.266043,141.433456,幡
樽川村,たるかわむら,43.151164,141.277243,川
厚田村,あつたむら,43.478767,141.48114,田
安瀬村,やすせむら,43.443783,141.431351,瀬
小谷村,こたにむら,43.376572,141.436829,谷
聚富村,しつぷむら,43.276749,141.415131,富
川下村,かわしもむら,43.586201,141.388824,下
柏木村,かしわぎむら,43.573486,141.405655,木
清水村,しみずむら,43.573486,141.405655,水
実田村,みたむら,43.60899,141.462494,田
茂生村,もいむら,43.606808,141.392593,生
柏木村,かしわぎむら,43.573486,141.405655,木
弁辺村,べんべむら,42.621363,140.696487,辺
虻田村,あぶたむら,42.681683,140.800895,田
札幌通,さつぽろどおり,42.315997,140.984269,通
東小路町,ひがしこうじちよう,42.323149,140.973709,路
西小路町,にしこうじちよう,42.325509,140.965469,路
沢町,さわちよう,42.321635,140.964943,沢
幕西町,まくにしちよう,42.319893,140.968592,西
浜町,はまちよう,42.318528,140.974248,浜
新堀町,しんぼりちよう,42.319172,140.975433,堀
本町,ほんちよう,42.312765,140.973592,本
輪西村,わにしむら,42.35555,141.014768,西
鼈龍田村,べきりゆうだむら,42.380355,140.953759,田
敷生村,しきうむら,42.531278,141.210728,生
社台村,しやだいむら,42.634274,141.32457,台
苫小牧村,とまこまいむら,42.643692,141.605555,牧
覚生村,おぽつぷむら,42.642262,141.436508,生
樽前村,たるまえむら,42.636066,141.391403,前
安平村,あびらむら,42.780101,141.826952,平
追分村,おいわけむら,42.872198,141.826346,分
鵡川村,むかわむら,42.581464,141.927541,川
井目戸村,いもつぺむら,42.572614,141.966793,戸
辺富内村,へとないむら,42.816677,142.24564,内
富仁家村,とにかむら,42.50608,142.044525,家
平賀村,びらがむら,42.517255,142.044105,賀
紫雲古津村,しうんこつむら,42.558483,142.097504,津
二風谷村,にぶたにむら,42.620241,142.180695,谷
長知内村,おさちないむら,42.721661,142.240303,内
高江村,たかえむら,42.370187,142.316173,江
泊津村,はくつむら,42.381209,142.353007,津
大狩部村,おおかりべむら,42.41264,142.270157,部
元神部村,もとかんべむら,42.46545,142.345871,部
下下方村,しもげぼうむら,42.341925,142.365079,方
中下方村,なかげぼうむら,42.352261,142.373173,方
上下方村,かみげぼうむら,42.352768,142.3853,方
目名村,めなむら,42.367435,142.40033,名
農家村,のやむら,42.484333,142.630409,家
有良村,うらむら,42.332827,142.408885,良
春立村,はるたちむら,42.280991,142.489838,立
音江村,おとえむら,42.309639,142.529404,江
延出村,のぶしゆつむら,42.293007,142.587631,出
宜保村,へしほむら,42.16212,142.79873,保
井寒台村,いかんたいむら,42.189366,142.766557,台
後辺戸村,しりべとむら,42.20116,142.706573,戸
傍平村,そびらむら,42.130221,142.915202,平
海辺村,うんべむら,42.150572,142.914459,辺
岡田村,おかだむら,42.161102,142.91654,田
累地村,るいちむら,42.16312,142.942276,地
白里村,しらりむら,42.131889,142.981567,里
冬島村,ふゆしまむら,42.147114,143.0662,島
郡内村,くんないむら,42.108856,143.011948,内
誓内村,ちかふないむら,42.093781,143.119293,内
幌泉村,ほろいずみむら,42.028735,143.178375,泉
小越村,おごしむら,41.974625,143.226715,越
庶野村,しよやむら,42.011875,143.249886,野
猿留村,さるるむら,42.132702,143.253311,留
長沼村,ながぬまむら,,,沼
角田村,かくたむら,43.039784,141.831334,田
登川村,のぼりかわむら,43.034791,142.037202,川
本町,ほんちよう,43.061314,141.976883,本
鹿の谷,しかのたに,43.042458,141.962733,谷
幌向村,ほろむいむら,43.064417,141.644647,向
栗沢村,くりさわむら,43.132799,141.852453,沢
岩見沢村,いわみざわむら,43.190179,141.762384,沢
北本町,きたほんちよう,43.210045,141.760818,本
一条,いちじよう,43.205778,141.764603,条
二条,にじよう,43.204926,141.765419,条
三条,さんじよう,43.204281,141.766182,条
四条,よじよう,43.203573,141.766708,条
五条,ごじよう,43.202848,141.767479,条
六条,ろくじよう,43.202103,141.768188,条
七条,ななじよう,43.200827,141.769279,条
八条,はちじよう,43.199783,141.770531,条
九条,くじよう,43.198572,141.771523,条
宮下町,みやしたちよう,43.197831,141.772265,下
上幌向町,かみほろむいちよう,43.183955,141.715732,向
中幌向町,なかほろむいちよう,43.157627,141.678802,向
幌向町,ほろむいちよう,43.151912,141.662352,向
朝日町,あさひちよう,43.170361,141.876846,日
奈良町,ならちよう,43.178345,141.919342,良
高柳町,たかやなぎちよう,43.175575,141.967819,柳
幌内村,ほろないむら,43.234216,141.901135,内
奈江村,なえむら,43.49722,141.91292,江
奈井江村,ないえむら,43.412819,141.893098,江
歌志内村,うたしないむら,43.507732,142.049856,内
赤平村,あかびらむら,43.553329,142.067196,平
滝川村,たきかわむら,43.569992,141.918523,川
新十津川村,しんとつかわむら,43.581808,141.79117,川
幌加内村,ほろかないむら,44.104281,142.15976,内
深川村,ふかがわむら,43.730924,142.031052,川
納内村,おさむないむら,43.731461,142.131518,内
音江村,おとえむら,43.689619,142.080433,江
