年次	発空港	稚内	釧路	函館	旭川	利尻	帯広	中標津	紋別	女満別	奥尻	新千歳	丘珠	青森	三沢	花巻	仙台	秋田	大館	山形	庄内	福島	百里	成田	羽田	大島	三宅島	八丈島	調布	新島	神津島	青ヶ島	御蔵島	利島	新潟	佐渡	富山	小松	能登	松本	静岡	名古屋	中部	大阪	関西	神戸	但馬	南紀白浜	鳥取	美保	隠岐	出雲	石見	岡山	広島	広島西	山口宇部	岩国	徳島	高松	松山	高知	福岡	北九州	佐賀	長崎	福江	壱岐	対馬	上五島	小値賀	熊本	天草	大分	宮崎	鹿児島	種子島	屋久島	奄美	喜界島	沖永良部	与論	徳之島	那覇	南大東島	久米島	宮古島	石垣	与那国	多良間	北大東島	波照間	粟国	下地島	慶良間
2017年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17677	***	***	***	***	***	***	***	9273	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17317	***	***	***	***	***	***	***	8042	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17805	***	***	***	***	***	***	***	8040	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16861	***	***	***	***	***	***	***	7912	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17830	***	***	***	***	***	***	***	7515	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18347	***	***	***	***	***	***	***	7360	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16458	***	***	***	***	***	***	***	8204	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18306	***	***	***	***	***	***	***	7293	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16008	***	***	***	***	***	***	***	7835	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16736	***	***	***	***	***	***	***	7112	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	17292	***	***	***	***	***	***	***	7654	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2006年	隠岐	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	19672	***	***	***	***	***	***	***	7241	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	羽田	43082	186868	429328	383203	***	237512	23682	24633	171371	***	3306267	***	199773	109585	***	620	265394	59745	42835	114167	***	***	***	***	***	***	79250	***	***	***	***	***	***	***	***	83749	356418	48393	***	***	***	77034	1986684	453953	369114	***	104227	121044	166305	***	212156	44207	327634	637445	***	298522	123108	326311	440075	515904	340330	3276487	355259	132779	591623	***	***	***	***	***	698554	***	443436	483450	891931	***	***	39983	***	***	***	***	2493454	***	5769	174201	240423	***	***	***	***	***	45309	***
2021年	羽田	17334	108816	222172	193084	***	123970	8449	15494	105919	***	1888639	***	87730	47041	970	289	110322	18506	21103	50526	***	***	***	***	***	***	49881	***	***	***	***	***	***	***	***	34861	172552	20802	***	***	***	37380	1266690	215158	246898	***	60175	58068	82384	***	113169	14686	150526	344993	***	158276	50821	160098	213583	251976	181196	2031707	206631	51974	307610	***	***	***	***	***	375060	***	248087	264138	473593	***	***	29943	***	***	***	***	1290514	***	1355	102719	144102	***	***	***	***	***	25936	***
2020年	羽田	10504	115779	232409	201604	***	133413	9065	16671	111965	***	1923843	***	100831	44178	***	***	126694	22092	15576	58204	***	***	***	***	***	***	47822	***	***	***	***	***	***	***	***	51250	210260	28497	***	***	***	49683	1319864	238039	230970	***	51926	65337	94861	***	119562	21994	182818	392834	***	176950	62523	180469	246835	281393	195212	1986966	233647	82656	345305	***	***	***	***	***	376157	***	254181	271048	488179	***	***	24955	***	***	***	***	1475453	***	1463	92091	159411	***	***	***	***	***	6412	***
2019年	羽田	60373	262364	545637	495946	***	316242	41939	39063	253704	***	4674986	***	281238	110948	***	***	425260	72118	50258	188614	***	***	***	***	***	***	88763	***	***	***	***	***	***	***	***	174322	547742	88109	***	***	***	135357	2739048	664475	506523	***	86638	196104	280091	***	292941	68900	515734	988986	***	468625	206755	524232	655673	771892	477847	4362776	631506	230439	912295	***	***	***	***	***	979436	***	630152	715337	1233525	***	***	45263	***	***	***	***	3044086	***	5839	139224	286305	***	***	***	***	***	***	***
2018年	羽田	56731	252853	501217	477207	***	305013	39768	33591	249310	***	4467854	***	268838	104625	***	***	417463	69180	47613	186801	***	***	***	***	***	***	88439	***	***	***	***	***	***	***	***	168649	511142	82938	***	***	***	133433	2718756	622206	504485	***	71607	191159	270025	***	287165	67869	514799	945293	***	469706	209510	501418	627747	778029	492978	4285029	629103	225176	922984	***	***	***	***	***	986249	***	621327	711589	1255215	***	***	44603	***	***	***	***	2948175	***	6094	135495	277148	***	***	***	***	***	***	***
