年次	発空港	稚内	釧路	函館	旭川	利尻	帯広	中標津	紋別	女満別	奥尻	新千歳	丘珠	青森	三沢	花巻	仙台	秋田	大館	山形	庄内	福島	百里	成田	羽田	大島	三宅島	八丈島	調布	新島	神津島	青ヶ島	御蔵島	利島	新潟	佐渡	富山	小松	能登	松本	静岡	名古屋	中部	大阪	関西	神戸	但馬	南紀白浜	鳥取	美保	隠岐	出雲	石見	岡山	広島	広島西	山口宇部	岩国	徳島	高松	松山	高知	福岡	北九州	佐賀	長崎	福江	壱岐	対馬	上五島	小値賀	熊本	天草	大分	宮崎	鹿児島	種子島	屋久島	奄美	喜界島	沖永良部	与論	徳之島	那覇	南大東島	久米島	宮古島	石垣	与那国	多良間	北大東島	波照間	粟国	下地島	慶良間
2013年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	51311	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	47863	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	49815	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	173	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	44356	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10105	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	42320	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	9275	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	47540	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10041	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	51871	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	12746	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2006年	大館	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	55051	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	13736	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	大阪	***	***	76083	4021	***	***	***	***	2758	***	473396	***	108503	19827	53184	334732	80437	***	44089	***	57983	***	38128	2015485	***	***	***	***	***	***	***	***	***	156941	***	***	***	***	1864	***	***	***	***	***	***	13772	***	***	***	14297	54448	311	***	***	***	***	***	***	***	199155	90539	272667	***	***	146025	***	***	***	***	***	194825	***	118843	210197	233364	1681	12516	35032	***	***	***	232	466323	***	***	1352	3756	***	***	***	***	***	***	***
2021年	大阪	***	1173	40974	1890	***	***	***	***	1977	***	271586	***	55507	11178	24739	173718	37521	***	21552	***	32155	***	1921	1297958	***	***	***	***	***	***	***	***	***	79592	***	***	***	***	1034	***	***	***	***	***	***	9475	***	***	***	6373	24335	189	***	***	***	***	***	***	***	110882	55494	176385	***	***	68864	***	***	***	***	***	93078	***	66106	117963	134586	747	8788	25486	***	***	***	220	242865	***	***	***	2428	***	***	***	***	***	***	***
2020年	大阪	***	639	41083	2150	***	***	***	***	2022	***	285480	***	59210	10590	32769	201063	43301	***	21891	***	36621	***	43590	1350696	***	***	***	***	***	***	***	***	***	89776	***	***	***	***	616	***	***	***	***	***	***	10385	***	***	***	7404	33822	116	***	***	***	***	***	***	***	125298	60605	176125	***	***	83619	***	***	***	***	***	98753	***	70271	125126	143811	606	9774	23933	***	***	***	116	281599	***	***	***	1086	***	***	***	***	***	***	***
2019年	大阪	***	2476	77197	3888	***	***	***	***	2702	***	580294	***	127856	20959	76651	454392	112727	***	56979	***	88415	***	247266	2802296	***	***	***	***	***	***	***	***	***	229115	***	***	***	***	1920	***	***	***	***	***	***	20375	***	***	***	18012	78086	977	***	***	***	***	***	***	***	281953	127354	297765	***	***	202036	***	***	***	***	***	229200	***	134311	294282	336742	1574	12185	43523	***	***	***	94	577351	***	***	***	3464	***	***	***	***	***	***	***
2018年	大阪	***	3769	66039	3872	***	***	***	***	2529	***	552269	***	117322	19879	74163	441917	104741	***	54621	***	83945	***	240193	2778226	***	***	***	***	***	***	***	***	***	214444	***	***	***	***	1825	***	***	***	***	***	***	18405	***	***	***	17794	77397	1083	***	***	***	***	***	***	***	282208	134912	286527	***	***	196474	***	***	***	***	***	234659	***	124369	283343	342503	1763	14986	35614	***	***	***	***	577612	***	***	767	6298	***	***	***	***	***	***	***
2017年	大阪	***	3674	64994	3806	***	***	***	***	2556	***	553975	***	105491	16408	70749	455525	96267	***	48768	***	83401	***	244151	2747193	***	***	***	***	***	***	***	***	***	214985	***	***	***	***	1751	***	***	***	***	***	***	15852	***	***	***	17954	74034	973	***	***	***	***	***	***	***	270765	134354	279942	***	***	188121	***	***	***	***	***	230969	***	113601	266595	333923	1544	20511	34742	***	***	***	***	571386	***	***	***	1127	***	***	***	***	***	***	***
2016年	大阪	***	5629	71190	3728	***	***	***	***	2489	***	531942	***	99764	16744	69432	452054	89266	***	46025	***	81119	***	239198	2609079	***	***	***	***	***	***	***	***	***	207690	***	***	***	***	1693	***	***	***	***	***	***	15117	***	***	***	17422	71317	1020	***	***	***	***	***	***	***	259925	132352	286216	***	***	182250	***	***	***	***	***	204289	***	105929	252865	323812	1328	19582	42535	***	***	***	***	538877	***	***	***	***	***	***	***	***	***	***	***
2015年	大阪	***	5893	50810	3649	***	***	***	***	2667	***	486166	***	92223	18166	68988	436116	85117	***	44124	***	80837	***	234300	2626559	***	***	***	***	***	***	***	***	***	203104	***	***	***	***	1260	***	***	***	***	***	***	14007	***	***	***	18360	63597	1540	***	***	***	***	***	***	***	251291	134700	301551	***	***	182812	***	***	***	***	***	198505	***	101217	267693	328395	1419	18051	41892	***	***	***	***	461359	***	***	***	***	***	***	***	***	***	***	***
2014年	大阪	***	5086	16447	3111	***	***	***	***	2586	***	379176	***	73727	17317	66492	454001	82971	***	41945	***	71665	***	250765	2629471	***	***	***	***	***	***	***	***	***	198932	***	***	***	***	1978	***	***	***	***	***	***	14050	***	***	***	17869	59402	1700	***	***	***	***	***	***	***	259836	138733	337600	***	***	173202	***	***	***	***	***	218589	***	98287	269958	355993	1250	15805	39631	***	***	***	***	448799	***	***	***	***	***	***	***	***	***	***	***
2013年	大阪	***	6092	11948	4299	***	***	***	***	***	***	258234	***	50712	15009	65609	489518	75369	***	40588	***	64931	***	251316	2627871	***	***	***	***	***	***	***	***	***	188165	***	***	***	***	***	***	***	***	***	***	***	13766	***	***	***	17549	65560	2549	***	***	***	***	***	***	***	252754	140349	328333	***	***	152824	***	***	***	***	***	217676	***	95486	267675	336521	1639	17819	41298	***	***	***	***	343831	***	***	***	***	***	***	***	***	***	***	***
2012年	大阪	***	4611	***	3993	***	***	***	***	***	***	237738	***	54591	***	64727	495243	67767	***	40924	***	57200	***	242892	2537958	***	***	***	***	***	***	***	***	***	171244	***	***	***	***	***	***	***	***	***	***	***	11956	***	***	***	18482	55689	2171	***	***	***	***	***	***	***	244170	141383	315423	***	***	140741	***	***	***	***	***	214556	***	89847	258508	341201	1510	17421	40497	***	***	***	***	304545	***	***	***	***	***	***	***	***	***	***	***
2011年	大阪	***	5921	***	3806	***	***	***	***	***	***	269035	***	53279	***	73808	342650	41116	65	46069	***	53605	***	219894	2402278	***	***	***	***	***	***	***	***	***	171781	***	***	***	***	***	***	***	***	***	***	***	13293	***	***	***	16708	51224	2273	***	***	***	***	***	***	***	235949	136569	329843	***	315	158878	***	***	***	***	***	221458	***	85581	258746	368753	1985	14753	37463	***	***	***	***	310503	***	***	***	***	***	***	***	***	***	***	***
2010年	大阪	***	5744	***	4290	***	***	***	***	***	***	285168	***	70616	23531	69095	511564	61981	12665	34363	***	56622	***	240664	2680898	***	***	***	***	***	***	***	***	***	194379	***	***	***	***	3942	***	***	***	***	***	***	13555	***	***	***	18776	56005	13628	***	***	***	***	***	***	***	262767	140561	404317	***	24280	198346	***	***	***	***	***	279946	***	117514	289297	472879	1976	15980	39814	***	***	***	***	307206	***	***	***	***	***	***	***	***	***	***	***
2009年	大阪	***	3442	***	4698	***	***	***	***	***	***	259600	***	69947	25678	66575	495222	61242	11916	36707	959	50353	***	198886	2662796	***	***	***	***	***	***	***	***	***	195612	***	***	***	***	10538	***	***	***	***	***	***	13352	***	***	***	16600	55042	11336	***	***	***	***	***	***	***	260714	127815	410951	***	20996	213760	***	***	***	***	***	288185	***	132619	290156	473535	6201	4674	43713	***	***	***	***	297012	***	***	***	***	***	***	***	***	***	***	***
2008年	大阪	***	4683	***	5333	***	***	***	***	***	***	280081	***	72665	25287	47349	526117	47678	13638	43294	7610	69419	***	164667	2960542	***	***	***	***	***	***	***	***	***	219816	***	***	***	***	12355	***	***	***	***	***	***	13513	***	***	***	16974	67976	11717	***	***	***	***	***	***	***	292426	148286	424056	***	23886	245270	***	***	***	***	***	337085	***	157248	329458	505993	9029	***	45000	***	***	***	***	291732	***	***	***	***	***	***	***	***	***	***	***
2007年	大阪	***	6481	***	6341	***	***	***	***	***	***	356644	***	77147	30429	53906	549962	52994	16060	47244	8858	77693	***	190344	3037197	***	***	***	***	***	***	***	***	***	224593	***	***	***	***	13488	***	***	***	***	***	***	12536	***	***	***	18030	68528	13077	***	***	***	***	***	***	***	321454	170539	426957	***	24316	258543	***	***	***	***	***	342366	***	171507	326012	505347	9642	***	46704	***	***	***	***	291973	***	***	***	9609	***	***	***	***	***	***	***
2006年	大阪	***	6358	***	6374	***	***	***	***	***	***	513046	***	82584	31542	67464	531686	46920	15798	49078	8809	71020	***	161831	3181563	***	***	***	***	***	***	***	***	***	221259	***	***	***	***	13118	***	***	***	***	***	***	12842	***	***	***	20540	69379	14328	***	***	***	***	***	***	***	328504	209311	499540	***	27729	257955	***	***	***	***	***	351453	***	184051	313611	505923	8850	***	48370	***	***	***	***	334344	***	***	***	40674	***	***	***	***	***	***	***
2022年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	908	***	7737	***	***	***	***	1113	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	803	***	5047	***	***	***	***	1028	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	807	***	5036	***	***	***	***	1096	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	913	***	8164	***	***	***	***	1398	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	761	***	9478	***	***	***	***	1217	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	741	***	9943	***	***	***	***	1052	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	729	***	10066	***	***	***	***	1008	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	4151	***	637	***	10485	***	***	***	***	1124	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	5202	***	786	***	11485	***	***	***	***	1087	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	4566	***	1043	***	11202	***	***	***	***	1192	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	4611	***	1051	***	10885	***	***	***	***	1233	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	4614	***	1070	***	10574	***	***	***	***	1166	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	5033	***	1215	***	11094	***	***	***	***	1320	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	11083	***	1121	2198	9385	***	***	***	***	1229	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	21679	***	1216	3277	8803	***	***	***	***	1402	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	32771	***	1097	10479	8947	***	***	***	***	1182	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2006年	大島	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	31719	***	1115	7933	4412	***	***	***	***	1466	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	93084	437162	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26486	117108	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	44235	241081	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18436	64546	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34617	259259	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	19790	70324	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	79343	626560	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	35442	131747	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	83976	619498	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34480	123587	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	91029	594604	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	32568	113861	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	86988	595079	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	31532	105562	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	95835	582246	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	30955	100431	28351	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	104227	564871	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	32438	97400	6860	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	74833	568257	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	31699	94501	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	558014	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	30776	88471	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	505990	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	32591	84013	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	539367	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41614	116226	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	529773	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	44243	130834	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	599729	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	54424	153305	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	616309	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	58959	168593	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15236	***	***	***	***	***	***	***	***	***	***	***
2006年	大分	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	605862	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	58131	182247	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26666	***	***	***	***	***	***	***	***	***	***	***
2022年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	13591	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	9141	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	10333	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	21107	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	19319	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15890	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	但馬	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15329	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
